Team,Side,Formation,Package,Play
Indianapolis Colts,Offense,Doubles,Kings,50 X Rub Under
Indianapolis Colts,Offense,Doubles,Kings,Weak Sprint 43
Indianapolis Colts,Offense,Doubles,Kings,PA Sprint 43 Post
Indianapolis Colts,Offense,Doubles,Kings,Weak T-Toss
Indianapolis Colts,Offense,Doubles,Kings,50 TE Seam
Indianapolis Colts,Offense,Doubles,Kings,Strong Counter
Indianapolis Colts,Offense,Doubles,Kings,PA-RO Z Stop
Indianapolis Colts,Offense,Doubles,Kings,Strong Zone Cutback
Indianapolis Colts,Offense,Doubles,Kings,PA Y Under
Indianapolis Colts,Offense,Doubles,Kings,Slot Reverse Strong
Indianapolis Colts,Offense,Doubles,Kings,PA Reverse Z Post
Indianapolis Colts,Offense,Doubles,Kings,Toss Reverse Strong
Indianapolis Colts,Offense,Triple,Kings,90 Y Speed Rub Out
Indianapolis Colts,Offense,Triple,Kings,Strong Draw
Indianapolis Colts,Offense,Triple,Kings,50 X Opposite Flow
Indianapolis Colts,Offense,Triple,Kings,90 A Quick Out
Indianapolis Colts,Offense,Triple,Kings,Weak Sprint 43
Indianapolis Colts,Offense,Triple,Kings,PA Sprint 43 Post
Indianapolis Colts,Offense,Triple,Kings,Weak Toss
Indianapolis Colts,Offense,Triple,Kings,50 Double Outs
Indianapolis Colts,Offense,Triple,Kings,Strong Y-Crack Toss
Indianapolis Colts,Offense,Triple,Kings,PA Slam-n-Go
Indianapolis Colts,Offense,Triple,Kings,Strong Outside Zone
Indianapolis Colts,Offense,Triple,Kings,RO TE Rub Out
Indianapolis Colts,Offense,Triple,Kings,H Shovel Strong
Indianapolis Colts,Offense,Triple,Kings,Strong Dive
Indianapolis Colts,Offense,Triple,Kings,50 Z Corner-Post
Indianapolis Colts,Offense,Triple,Kings,Slot Reverse Weak
Indianapolis Colts,Offense,Triple,Kings,Flea Flicker
Indianapolis Colts,Offense,Triple,Kings,Toss Reverse Weak
Indianapolis Colts,Offense,Quads,Flush,90 Quick Slants
Indianapolis Colts,Offense,Quads,Flush,Weak Sprint 43
Indianapolis Colts,Offense,Quads,Flush,PA Sprint 43 Post
Indianapolis Colts,Offense,Quads,Flush,90 X Hot
Indianapolis Colts,Offense,Quads,Flush,Strong Zone Cutback
Indianapolis Colts,Offense,Quads,Flush,50 Y Zip Post
Indianapolis Colts,Offense,Quads,Flush,Weak Zone Bounce
Indianapolis Colts,Offense,Quads,Flush,50 Y/A Swing
Indianapolis Colts,Offense,Quads,Flush,Strong Toss
Indianapolis Colts,Offense,Quads,Flush,90 H Quick Dump
Indianapolis Colts,Offense,Quads,Flush,Weak Counter
Indianapolis Colts,Offense,Quads,Flush,50 H Screen Strong
Indianapolis Colts,Offense,Quads,Flush,PA Z Fade
Indianapolis Colts,Offense,Quads,Flush,Weak Draw
Indianapolis Colts,Offense,Quads,Flush,PA-RO X/Y Cross
Indianapolis Colts,Offense,Quads,Flush,Slot Reverse Strong
Indianapolis Colts,Offense,Quads,Flush,H Shovel Strong
Indianapolis Colts,Offense,Quads,Flush,Toss Reverse Strong
Indianapolis Colts,Offense,Trey,Flush,90 A Quick Out
Indianapolis Colts,Offense,Trey,Flush,Weak Dive
Indianapolis Colts,Offense,Trey,Flush,50 Y/Z In-n-Out
Indianapolis Colts,Offense,Trey,Flush,90 X/Z Quick Fades
Indianapolis Colts,Offense,Trey,Flush,Weak Sprint 43
Indianapolis Colts,Offense,Trey,Flush,PA Sprint 43 Post
Indianapolis Colts,Offense,Trey,Flush,Weak Zone Bounce
Indianapolis Colts,Offense,Trey,Flush,50 Hi/Low Drags
Indianapolis Colts,Offense,Trey,Flush,Strong Toss
Indianapolis Colts,Offense,Trey,Flush,PA H Wheel
Indianapolis Colts,Offense,Trey,Flush,Strong Draw
Indianapolis Colts,Offense,Trey,Flush,Flea Flicker
Indianapolis Colts,Offense,Trey,Flush,Slot Reverse Weak C
Indianapolis Colts,Offense,Trey,Flush,H Shovel Strong
Indianapolis Colts,Offense,Trey,Flush,Toss Reverse Weak C
Indianapolis Colts,Offense,Trips,Flush,90 Y Speed Under
Indianapolis Colts,Offense,Trips,Flush,Weak Sprint 43
Indianapolis Colts,Offense,Trips,Flush,PA Sprint 43 Post
Indianapolis Colts,Offense,Trips,Flush,90 Y Speed Out
Indianapolis Colts,Offense,Trips,Flush,Strong Zone Cutback
Indianapolis Colts,Offense,Trips,Flush,50 Y/A Curl-n-Go
Indianapolis Colts,Offense,Trips,Flush,Weak Toss
Indianapolis Colts,Offense,Trips,Flush,90 H Quick Dump
Indianapolis Colts,Offense,Trips,Flush,Strong Outside Zone
Indianapolis Colts,Offense,Trips,Flush,PA X Post-Corner
Indianapolis Colts,Offense,Trips,Flush,Weak Draw
Indianapolis Colts,Offense,Trips,Flush,50 Y Stop-n-Go
Indianapolis Colts,Offense,Trips,Flush,90 A Quick Out
Indianapolis Colts,Offense,Trips,Flush,Weak Counter
Indianapolis Colts,Offense,Trips,Flush,50 H Screen Strong
Indianapolis Colts,Offense,Trips,Flush,Slot Reverse Strong
Indianapolis Colts,Offense,Trips,Flush,H Shovel Strong
Indianapolis Colts,Offense,Trips,Flush,Toss Reverse Strong
Indianapolis Colts,Offense,Ace,Ace,90 Quick Slants
Indianapolis Colts,Offense,Ace,Ace,Strong Zone Cutback
Indianapolis Colts,Offense,Ace,Ace,50 X Curl In
Indianapolis Colts,Offense,Ace,Ace,Weak Outside Zone
Indianapolis Colts,Offense,Ace,Ace,90 X/Z Outs
Indianapolis Colts,Offense,Ace,Ace,Strong Sweep
Indianapolis Colts,Offense,Ace,Ace,50 Z Slide
Indianapolis Colts,Offense,Ace,Ace,Weak Power
Indianapolis Colts,Offense,Ace,Ace,PA Double Rub
Indianapolis Colts,Offense,Flip Ace,Ace,90 X/Z Stops
Indianapolis Colts,Offense,Flip Ace,Ace,Weak Draw
Indianapolis Colts,Offense,Flip Ace,Ace,50 Verts-n-Flats
Indianapolis Colts,Offense,Flip Ace,Ace,Weak Zone Bounce
Indianapolis Colts,Offense,Flip Ace,Ace,50 Z Slip Screen
Indianapolis Colts,Offense,Flip Ace,Ace,Strong Toss
Indianapolis Colts,Offense,Flip Ace,Ace,PA TE/Y Hooks
Indianapolis Colts,Offense,Flip Ace,Ace,Strong Trap
Indianapolis Colts,Offense,Flip Ace,Ace,PA-RO Z Rollaway
Indianapolis Colts,Offense,Tight Triple,Ace,90 X/Z Quick Fades
Indianapolis Colts,Offense,Tight Triple,Ace,Strong Draw
Indianapolis Colts,Offense,Tight Triple,Ace,50 Over-n-Under
Indianapolis Colts,Offense,Tight Triple,Ace,50 H Screen Strong
Indianapolis Colts,Offense,Tight Triple,Ace,Weak Sprint 43
Indianapolis Colts,Offense,Tight Triple,Ace,PA Sprint 43 Post
Indianapolis Colts,Offense,Tight Triple,Ace,Weak Zone Bounce
Indianapolis Colts,Offense,Tight Triple,Ace,90 Y Speed Under
Indianapolis Colts,Offense,Tight Triple,Ace,Strong Toss
Indianapolis Colts,Offense,Tight Triple,Ace,PA-RO Stop/Corners
Indianapolis Colts,Offense,Tight Triple,Ace,Weak Zone Cutback
Indianapolis Colts,Offense,Tight Triple,Ace,PA Z Slide-n-Go
Indianapolis Colts,Offense,Straight Trips,Straight,90 All Slam
Indianapolis Colts,Offense,Straight Trips,Straight,QB Draw
Indianapolis Colts,Offense,Straight Trips,Straight,50 Y Out-n-Up
Indianapolis Colts,Offense,Straight Trips,Straight,90 Z Arrow
Indianapolis Colts,Offense,Straight Trips,Straight,50 Z Corner-Post
Indianapolis Colts,Offense,Straight Trips,Straight,50 Y Swing Strong
Indianapolis Colts,Offense,Straight Open,Straight,90 All Slam
Indianapolis Colts,Offense,Straight Open,Straight,QB Draw
Indianapolis Colts,Offense,Straight Open,Straight,50 A Curl In
Indianapolis Colts,Offense,Straight Open,Straight,90 Z Arrow
Indianapolis Colts,Offense,Straight Open,Straight,QB Sneak
Indianapolis Colts,Offense,Straight Open,Straight,50 X/A Posts
Indianapolis Colts,Offense,Straight Open,Straight,RO A Slide-n-Go
Indianapolis Colts,Offense,Straight Open,Straight,50 Z Corner
Indianapolis Colts,Offense,Straight Open,Straight,50 Slide-n-Flow
Indianapolis Colts,Offense,Ace H Flex,Ace,90 H Slant
Indianapolis Colts,Offense,Ace H Flex,Ace,QB Draw
Indianapolis Colts,Offense,Ace H Flex,Ace,50 X/H Cross
Indianapolis Colts,Offense,Ace H Flex,Ace,90 Z Arrow
Indianapolis Colts,Offense,Ace H Flex,Ace,QB Sneak
Indianapolis Colts,Offense,Ace H Flex,Ace,50 X/H Posts
Indianapolis Colts,Offense,Ace H Flex,Ace,RO A Slide-n-Go
Indianapolis Colts,Offense,Ace H Flex,Ace,50 H Hook
Indianapolis Colts,Offense,Ace H Flex,Ace,50 Slide-n-Flow
Indianapolis Colts,Offense,I Pro,Pro,90 TE Seam Stop
Indianapolis Colts,Offense,I Pro,Pro,Strong Iso
Indianapolis Colts,Offense,I Pro,Pro,50 Double Post
Indianapolis Colts,Offense,I Pro,Pro,Weak Zone Bounce
Indianapolis Colts,Offense,I Pro,Pro,50 Z Deep Hook
Indianapolis Colts,Offense,I Pro,Pro,Strong Counter Trap
Indianapolis Colts,Offense,I Pro,Pro,90 Z Hot
Indianapolis Colts,Offense,I Pro,Pro,Weak FB Trap
Indianapolis Colts,Offense,I Pro,Pro,50 X Deep Drag
Indianapolis Colts,Offense,I Pro,Pro,PA Z Seam
Indianapolis Colts,Offense,I Pro,Pro,Weak Lead Draw
Indianapolis Colts,Offense,I Pro,Pro,PA-RO Z Comeback
Indianapolis Colts,Offense,I Twins,Pro,90 Z Speed Under
Indianapolis Colts,Offense,I Twins,Pro,Weak Iso
Indianapolis Colts,Offense,I Twins,Pro,50 X Deep Drag
Indianapolis Colts,Offense,I Twins,Pro,Weak Outside Zone
Indianapolis Colts,Offense,I Twins,Pro,50 X/Z Deep Cross
Indianapolis Colts,Offense,I Twins,Pro,Strong Zone Cutback
Indianapolis Colts,Offense,I Twins,Pro,PA-RO Z Delay Out
Indianapolis Colts,Offense,I Twins,Pro,Strong Toss Counter
Indianapolis Colts,Offense,I Twins,Pro,PA Z Slant-n-Go
Indianapolis Colts,Offense,I Twins,Pro,Slot Reverse I
Indianapolis Colts,Offense,I Twins,Pro,Flea Flicker
Indianapolis Colts,Offense,I Twins,Pro,Toss Reverse I
Indianapolis Colts,Offense,I Jacks,Jacks,90 Jack Hot
Indianapolis Colts,Offense,I Jacks,Jacks,Strong Iso
Indianapolis Colts,Offense,I Jacks,Jacks,50 Y/TE Corners
Indianapolis Colts,Offense,I Jacks,Jacks,Weak Toss
Indianapolis Colts,Offense,I Jacks,Jacks,90 All Hooks
Indianapolis Colts,Offense,I Jacks,Jacks,Strong Power
Indianapolis Colts,Offense,I Jacks,Jacks,Strong Zone Cutback
Indianapolis Colts,Offense,I Jacks,Jacks,PA TE Dump
Indianapolis Colts,Offense,I Jacks,Jacks,Strong Counter
Indianapolis Colts,Offense,I Jacks,Jacks,Weak Iso
Indianapolis Colts,Offense,I Jacks,Jacks,90 TE Seam Stop
Indianapolis Colts,Offense,I Jacks,Jacks,Fake Toss Reverse I
Indianapolis Colts,Offense,Strong I Pro,Pro,90 Z Hot
Indianapolis Colts,Offense,Strong I Pro,Pro,Strong Iso
Indianapolis Colts,Offense,Strong I Pro,Pro,50 TE/Z Curls
Indianapolis Colts,Offense,Strong I Pro,Pro,Weak Outside Zone
Indianapolis Colts,Offense,Strong I Pro,Pro,50 H Swing Strong
Indianapolis Colts,Offense,Strong I Pro,Pro,Strong Power
Indianapolis Colts,Offense,Strong I Pro,Pro,RO X Post-Corner
Indianapolis Colts,Offense,Strong I Pro,Pro,Strong Lead Draw
Indianapolis Colts,Offense,Strong I Pro,Pro,PA Z Deep Post
Indianapolis Colts,Offense,Strong I Jacks,Jacks,90 Jack Hot
Indianapolis Colts,Offense,Strong I Jacks,Jacks,Strong Iso
Indianapolis Colts,Offense,Strong I Jacks,Jacks,50 Double Swing
Indianapolis Colts,Offense,Strong I Jacks,Jacks,Weak Counter
Indianapolis Colts,Offense,Strong I Jacks,Jacks,PA TE Dump
Indianapolis Colts,Offense,Strong I Jacks,Jacks,Strong Toss
Indianapolis Colts,Offense,Weak I Pro,Pro,90 Y Dump
Indianapolis Colts,Offense,Weak I Pro,Pro,Weak Iso
Indianapolis Colts,Offense,Weak I Pro,Pro,50 Y Swing Weak
Indianapolis Colts,Offense,Weak I Pro,Pro,Weak Toss
Indianapolis Colts,Offense,Weak I Pro,Pro,90 Y Speed Out
Indianapolis Colts,Offense,Weak I Pro,Pro,Strong Outside Zone
Indianapolis Colts,Offense,Weak I Pro,Pro,PA Y Seam
Indianapolis Colts,Offense,Weak I Pro,Pro,Strong Dive
Indianapolis Colts,Offense,Weak I Pro,Pro,RO Y Wheel
Indianapolis Colts,Offense,Weak I Pro,Pro,HB Pass
Indianapolis Colts,Offense,Weak I Pro,Pro,Strong Draw
Indianapolis Colts,Offense,Weak I Pro,Pro,50 H Screen Strong
Indianapolis Colts,Offense,Split Pro,Pro,90 Z Quick Hitch
Indianapolis Colts,Offense,Split Pro,Pro,Strong Iso
Indianapolis Colts,Offense,Split Pro,Pro,50 Z Fade Rollaway
Indianapolis Colts,Offense,Split Pro,Pro,Weak FB Sweep
Indianapolis Colts,Offense,Split Pro,Pro,50 H Wheel
Indianapolis Colts,Offense,Split Pro,Pro,Strong Sweep
Indianapolis Colts,Offense,Split Pro,Pro,PA X Slide Out
Indianapolis Colts,Offense,Split Pro,Pro,Weak Draw
Indianapolis Colts,Offense,Split Pro,Pro,RO Z Stop-n-Go
Indianapolis Colts,Offense,Split Spread,Queens,90 Y Dump
Indianapolis Colts,Offense,Split Spread,Queens,Weak Draw
Indianapolis Colts,Offense,Split Spread,Queens,50 H Wheel
Indianapolis Colts,Offense,Split Spread,Queens,Weak Split Toss
Indianapolis Colts,Offense,Split Spread,Queens,50 Y Swing
Indianapolis Colts,Offense,Split Spread,Queens,Strong Sweep
Indianapolis Colts,Offense,Split Spread,Queens,PA Y Wheel
Indianapolis Colts,Offense,Split Spread,Queens,Weak Outside Zone
Indianapolis Colts,Offense,Split Spread,Queens,RO Slot Deep Cross
Indianapolis Colts,Offense,Split Jacks,Jacks,90 Jack Hot
Indianapolis Colts,Offense,Split Jacks,Jacks,Weak Dive
Indianapolis Colts,Offense,Split Jacks,Jacks,50 H/F Replace
Indianapolis Colts,Offense,Split Jacks,Jacks,Weak Split Toss
Indianapolis Colts,Offense,Split Jacks,Jacks,90 H Speed Out
Indianapolis Colts,Offense,Split Jacks,Jacks,Strong Power
Indianapolis Colts,Offense,Split Jacks,Jacks,Weak Outside Zone
Indianapolis Colts,Offense,Split Jacks,Jacks,50 Double Swing
Indianapolis Colts,Offense,Split Jacks,Jacks,Strong Sweep
Indianapolis Colts,Offense,Gun: Split Spread,Queens,50 H/F Replace
Indianapolis Colts,Offense,Gun: Split Spread,Queens,Weak Draw
Indianapolis Colts,Offense,Gun: Split Spread,Queens,RO Slot Deep Cross
Indianapolis Colts,Offense,Gun: Split Spread,Queens,90 H Speed Out
Indianapolis Colts,Offense,Gun: Split Spread,Queens,Strong Sweep
Indianapolis Colts,Offense,Gun: Split Spread,Queens,50 Double Swing
Indianapolis Colts,Offense,Gun: Split Spread,Queens,H Shovel Strong
Indianapolis Colts,Offense,Gun: Split Spread,Queens,Weak T-Toss
Indianapolis Colts,Offense,Gun: Split Spread,Queens,50 Z Fade Rollaway
Indianapolis Colts,Offense,Gun: H Flex,Ace,90 Z Arrow
Indianapolis Colts,Offense,Gun: H Flex,Ace,QB Draw
Indianapolis Colts,Offense,Gun: H Flex,Ace,50 Double Cross
Indianapolis Colts,Offense,Gun: H Flex,Ace,90 H Slant
Indianapolis Colts,Offense,Gun: H Flex,Ace,50 X/H Posts
Indianapolis Colts,Offense,Gun: H Flex,Ace,50 Slide-n-Flow
Indianapolis Colts,Offense,Gun: H Flex,Ace,50 X/H Cross
Indianapolis Colts,Offense,Gun: H Flex,Ace,50 Z Corner
Indianapolis Colts,Offense,Gun: H Flex,Ace,50 H Hook
Indianapolis Colts,Offense,Gun: Triple Left,Kings,90 X Hot
Indianapolis Colts,Offense,Gun: Triple Left,Kings,Weak Draw
Indianapolis Colts,Offense,Gun: Triple Left,Kings,50 TE Rub Out
Indianapolis Colts,Offense,Gun: Triple Left,Kings,Weak Sweep
Indianapolis Colts,Offense,Gun: Triple Left,Kings,50 Z Hook-n-Go
Indianapolis Colts,Offense,Gun: Triple Left,Kings,Strong Sweep
Indianapolis Colts,Offense,Gun: Triple Left,Kings,90 H Quick Dump
Indianapolis Colts,Offense,Gun: Triple Left,Kings,Weak Toss
Indianapolis Colts,Offense,Gun: Triple Left,Kings,50 H Circle
Indianapolis Colts,Offense,Gun: Triple Left,Kings,PA Delay Seam
Indianapolis Colts,Offense,Gun: Triple Left,Kings,Weak Dive
Indianapolis Colts,Offense,Gun: Triple Left,Kings,50 Y Corner
Indianapolis Colts,Offense,Gun: Quads Left,Flush,90 Y/A Hot
Indianapolis Colts,Offense,Gun: Quads Left,Flush,Weak Draw
Indianapolis Colts,Offense,Gun: Quads Left,Flush,50 A Curl In
Indianapolis Colts,Offense,Gun: Quads Left,Flush,Weak Sweep
Indianapolis Colts,Offense,Gun: Quads Left,Flush,90 A Quick Hitch
Indianapolis Colts,Offense,Gun: Quads Left,Flush,Strong Sweep
Indianapolis Colts,Offense,Gun: Quads Left,Flush,PA Double Rub
Indianapolis Colts,Offense,Gun: Quads Left,Flush,Weak Toss
Indianapolis Colts,Offense,Gun: Quads Left,Flush,50 X Curl In
Indianapolis Colts,Offense,Gun: Quads Left,Flush,50 Z Corner-Post
Indianapolis Colts,Offense,Gun: Quads Left,Flush,Weak Dive
Indianapolis Colts,Offense,Gun: Quads Left,Flush,PA A Hook
Indianapolis Colts,Offense,Gun: Straight Trips,Straight,90 All Slam
Indianapolis Colts,Offense,Gun: Straight Trips,Straight,50 TE Stop-n-Go
Indianapolis Colts,Offense,Gun: Straight Trips,Straight,50 Y/TE Curl-n-Go
Indianapolis Colts,Offense,Gun: Straight Trips,Straight,90 Z Arrow
Indianapolis Colts,Offense,Gun: Straight Trips,Straight,50 Z Slide
Indianapolis Colts,Offense,Gun: Straight Trips,Straight,50 Y Seam
Indianapolis Colts,Offense,Gun: Straight Open,Straight,90 Z Arrow
Indianapolis Colts,Offense,Gun: Straight Open,Straight,QB Draw
Indianapolis Colts,Offense,Gun: Straight Open,Straight,50 X/A Posts
Indianapolis Colts,Offense,Gun: Straight Open,Straight,90 All Slam
Indianapolis Colts,Offense,Gun: Straight Open,Straight,50 Y/Z Double Out
